series	model	package_revision	archive_filename	archive_sha256	archive_url
RMD-L	L-5010	251029	RMD-L--L-5010--251029.zip	294106112e77e7b964e5a36dd26637cc0a9d5f9ee6a4883c95b800d9a9e47c5c	https://www.myactuator.com/_files/archives/cab28a_bdb66aa139944eb5937a72ab95e48457.zip?dn=L-5010-251029.zip
RMD-L	L-5015	251029	RMD-L--L-5015--251029.zip	c430aaa8e64942ac2b776fbdd301a1ecf179e67ff2166f5d66d611172aeff110	https://www.myactuator.com/_files/archives/cab28a_faa9a45b0d0c48bb8d03471e5be8733a.zip?dn=L-5015-251029.zip
RMD-L	L-7015	251029	RMD-L--L-7015--251029.zip	c42c273bbd64c9c641c942a2f7c82a5c98501859ef0a6e8e416492907e37c58d	https://www.myactuator.com/_files/archives/cab28a_da333fb383e74af4ac6e9e89d8dcba32.zip?dn=L-7015-251029.zip
RMD-L	L-7025	251029	RMD-L--L-7025--251029.zip	01afef81495b124949d3bf4a7c09cd99f888707d28ff72951ef2357f17232461	https://www.myactuator.com/_files/archives/cab28a_ad8f5be9803a4ca7b3d3cdf4497fc5e1.zip?dn=L-7025-251029.zip
RMD-L	L-9015	251029	RMD-L--L-9015--251029.zip	6b6ff656c56394463c0ffe9f8a6458b23e51d66983931ff92b7039c864ae5b49	https://www.myactuator.com/_files/archives/cab28a_cd7bf5d0f3314c009d4453635cdb909f.zip?dn=L-9015-251029.zip
RMD-L	L-9025	251029	RMD-L--L-9025--251029.zip	70d61f2cd878bd73a387da1fec3da2cee60d7019165367a0b1d99aaaf7066e36	https://www.myactuator.com/_files/archives/cab28a_a20825aa499746acaa39b835e8105b7c.zip?dn=L-9025-251029.zip
CEM	CEM-25	251014	CEM--CEM-25--251014.zip	814ec1503401b0f368bcc5adca506001219eb0447486468cb71df6b10e5cbdc7	https://www.myactuator.com/_files/archives/cab28a_4e778ee17a94420cb983753d9f233419.zip?dn=CEM-25-251014.zip
CEM	CEM-45	251014	CEM--CEM-45--251014.zip	9b1b4d3df0b3b6160040665942d321952dc8ccc2871c453a60155368ba0860ca	https://www.myactuator.com/_files/archives/cab28a_9adbd8660c5d4021941e00ff33d6cfb8.zip?dn=CEM-45-251014.zip
RMD-H	H-50-15	241210	RMD-H--H-50-15--241210.zip	711183a963492b8382d701b25c56e0c4771ff3bbef2cd48373905785743d3b22	https://www.myactuator.com/_files/archives/cab28a_6903be9534a24d18a73b4810ef814cda.zip?dn=H-50-15-241210.zip
RMD-H	H-70-15	241210	RMD-H--H-70-15--241210.zip	b00b4cf4ed72a8e37ac7f1246b4f4c6539103b3abcc8ead62ae04830a3aa5e5d	https://www.myactuator.com/_files/archives/cab28a_c547e61a653445b8b9e67eaab298c852.zip?dn=H-70-15-241210.zip
RMD-H	H-90-15	241210	RMD-H--H-90-15--241210.zip	8f6d89d6df100779fb784ae487a4f1e831daceb8c689d76fbab55f72a5b0b65c	https://www.myactuator.com/_files/archives/cab28a_4bf7645f585e42028281342427aa16f3.zip?dn=H-90-15-241210.zip
FL-FLO	FL-38-08	250403	FL-FLO--FL-38-08--250403.zip	8134d55442dbd4cf5ce681ff4d183be971f75fcfcf3e5b0154f50b3ee81340a7	https://www.myactuator.com/_files/archives/cab28a_d1e7484dfb29442d90243a85830d2f3f.zip?dn=FL-38-08-250403.zip
FL-FLO	FL-50-08	250403	FL-FLO--FL-50-08--250403.zip	9b9c801c77a54bbc959a1815396f3253a97a6b4cf52148d10e8739889bd88b16	https://www.myactuator.com/_files/archives/cab28a_c54c818aec464293b593616d4293de08.zip?dn=FL-50-08-%E9%9C%8D%E5%B0%94-250403.zip
FL-FLO	FL-50-15	250403	FL-FLO--FL-50-15--250403.zip	209409bcab808ec8a1092a422b9645e2ef1ad9ef7547d5c77297299cb9e5da02	https://www.myactuator.com/_files/archives/cab28a_ee4d6e556bbb4fe187084bdb13cd0771.zip?dn=FL-50-15-%E9%9C%8D%E5%B0%94-250403.zip
FL-FLO	FL-70-10	250403	FL-FLO--FL-70-10--250403.zip	e86e2a36a969c5f8cbaf9588d30818cddb6b4d5bef8b34f9596e4e6f104f7353	https://www.myactuator.com/_files/archives/cab28a_6c6b1cf7be714f5db8a3c35ea44ec4ac.zip?dn=FL-70-10-%E9%9C%8D%E5%B0%94-250403.zip
FL-FLO	FL-70-16	250403	FL-FLO--FL-70-16--250403.zip	519b516ea1d849e1fcc6a5c5b442669ed2a9a5a694723ad91b64c170d3031c95	https://www.myactuator.com/_files/archives/cab28a_0c839c1ef2fa47008ef4750f0338c4c5.zip?dn=FL-70-16-%E9%9C%8D%E5%B0%94-250403.zip
FL-FLO	FL-85-13	250403	FL-FLO--FL-85-13--250403.zip	552abeb8f523c459f306a1b6dff6de31dffadcad0ccc61e04f90ff492a87b1a5	https://www.myactuator.com/_files/archives/cab28a_af3b56fb9e3049dfb674c037bcf90ee7.zip?dn=FL-85-13-%E9%9C%8D%E5%B0%94-250403.zip
FL-FLO	FL-85-23	251119	FL-FLO--FL-85-23--251119.zip	1c391cc1e3adad72fe69fcc69c3124a2120ff0b7b61ca7df234c7b1dda530e72	https://www.myactuator.com/_files/archives/cab28a_a05ffd210b8c488a8e012696aba42342.zip?dn=FL-85-23-251119.zip
FL-FLO	FLO-50-15	20241122	FL-FLO--FLO-50-15--20241122.zip	1c3e1c695b3cac679e483d1b554afaee1cc17e4b3211513a51ed3a20a66ae6c3	https://www.myactuator.com/_files/archives/cab28a_74b6a279822043169e61547e038c1aa2.zip?dn=FLO-50-15-20241122.zip
FL-FLO	FLO-70-15	20241122	FL-FLO--FLO-70-15--20241122.zip	29830b629382bc76b59dfdb5f770eee884b66f8f20854d65aab4f4e678a75b6a	https://www.myactuator.com/_files/archives/cab28a_5b8f05e7d52340c3b1c2c43162b5ca61.zip?dn=FLO-70-15-20241122.zip
FL-FLO	FLO-90-15	20241122	FL-FLO--FLO-90-15--20241122.zip	8e39e7279812d5c419e0618d4053673aa2c4dba0e3d7537a0b52eaa8b1a235a9	https://www.myactuator.com/_files/archives/cab28a_f4ae0e78828c45e18021c8171a3ac9a0.zip?dn=FLO-90-15-20241122.zip
